"question_type","question_text","choice_1","choice_2","choice_3","choice_4","choice_5","correct_codes","numeric_answer","numeric_tolerance","unit","topic_code","explanation_short","explanation_standard","explanation_detailed","difficulty","importance","frequency_score","source_type","source_name","source_url","copyright_holder","permission_status","status"
"single","血液のpHを一定に保つ仕組みに関係が深いものはどれか。","緩衝系","視覚調節","骨伝導","胆汁分泌のみ","涙液分泌のみ","1","","0.01","","MED-BIO","pH維持には緩衝系が関与します。","血液pHは重炭酸緩衝系、呼吸、腎臓の働きによって調節されます。酸塩基平衡の理解に重要です。","判断手順: pH、酸塩基、CO2、HCO3-という語が出たら緩衝系と呼吸・腎臓を考えます。","3","5","3.0","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","アシドーシスとは一般に血液がどの方向へ傾く状態か。","酸性側","アルカリ性側","中性側のみ","糖化側","凝固側","1","","0.01","","MED-BIO","アシドーシスは酸性側への傾きです。","アシドーシスは血液pHが低下する方向の異常で、呼吸性と代謝性に大きく分けられます。","判断手順: アシドーシスはacid=酸、アルカローシスはalkali=アルカリです。血液ガス問題の基礎語です。","2","4","2.5","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","アルカローシスとは一般に血液がどの方向へ傾く状態か。","酸性側","アルカリ性側","低酸素側のみ","凝固側","脱水側","2","","0.01","","MED-BIO","アルカローシスはアルカリ性側への傾きです。","アルカローシスは血液pHが上昇する方向の異常で、呼吸性と代謝性に分けられます。","判断手順: pHが高い方向はアルカローシス、低い方向はアシドーシスです。PaCO2やHCO3-と合わせて考えます。","2","4","2.5","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"numeric","pH 7.40から7.30へ低下した。変化量の絶対値はいくつか。","","","","","","","0.10","0.001","","MED-BIO","7.40−7.30＝0.10です。","変化量の絶対値は差の大きさです。7.40から7.30へ低下した場合、差は0.10です。","使用式: 差 = 7.40 - 7.30。pHの小さな差でも生体では重要な意味を持ちます。","1","3","1.0","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","腎臓の主な働きとして適切でないものはどれか。","尿生成","電解質調節","酸塩基調節","赤血球産生促進への関与","胆汁産生","5","","0.01","","MED-ANAT","胆汁産生は肝臓の働きです。","腎臓は尿生成、体液・電解質調節、酸塩基調節、エリスロポエチン分泌などに関与します。胆汁は肝臓で作られます。","判断手順: 腎臓は水・電解質・酸塩基・老廃物排泄・造血刺激、肝臓は胆汁・代謝・解毒と整理します。","2","5","3.0","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","血液透析が必要となる代表的な病態はどれか。","末期腎不全","白内障のみ","単純骨折のみ","近視","虫歯","1","","0.01","","CLIN-PATH","末期腎不全では透析が必要になることがあります。","腎機能が高度に低下し、老廃物や水分、電解質の調節が困難になると血液透析などの腎代替療法が必要になります。","判断手順: 透析は腎臓の働きの一部を代行します。尿毒症、高K血症、体液過剰などが重要です。","2","5","3.0","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","高カリウム血症で注意すべき重大な合併症はどれか。","致死性不整脈","白内障","骨折のみ","皮膚乾燥のみ","視力改善","1","","0.01","","CLIN-PATH","高カリウム血症では致死性不整脈に注意します。","カリウムは心筋の電気活動に関わるため、高カリウム血症では不整脈や心停止のリスクがあります。","判断手順: K、心電図変化、不整脈、腎不全という語を関連づけます。透析患者では特に重要です。","3","5","3.0","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"numeric","血清カリウムが5.8 mEq/Lで、基準上限を5.0 mEq/Lとする。上限との差は何mEq/Lか。","","","","","","","0.8","0.01","mEq/L","CLIN-PATH","5.8−5.0＝0.8 mEq/Lです。","基準上限との差は測定値から上限値を引きます。5.8から5.0を引くと0.8です。","使用式: 差 = 測定値 - 基準上限。高カリウムでは数値だけでなく心電図変化や腎機能も確認します。","1","3","1.5","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","貧血で低下する代表的な検査項目はどれか。","ヘモグロビン","ビリルビンのみ","トロポニンのみ","CRPのみ","血糖のみ","1","","0.01","","CLIN-PATH","貧血ではヘモグロビンが低下します。","ヘモグロビンは酸素運搬に関わる赤血球内のタンパク質で、貧血の評価に用いられます。","判断手順: 貧血=Hb低下、感染炎症=CRP上昇、心筋障害=トロポニン上昇と整理します。","1","5","3.0","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","炎症や感染で上昇しやすい検査項目はどれか。","CRP","HbA1cのみ","eGFRのみ","SpO2のみ","ACTのみ","1","","0.01","","CLIN-PATH","CRPは炎症反応で上昇しやすい指標です。","CRPは炎症や感染などで上昇しやすく、臨床状態や他の検査と合わせて評価します。","判断手順: 炎症・感染ならCRPや白血球数を考えます。数値だけで診断せず、症状や経過と合わせます。","2","4","2.5","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","HbA1cが主に反映するものはどれか。","過去1〜2か月程度の血糖状態","現在の酸素飽和度","腎臓の濾過量のみ","凝固時間のみ","心筋壊死のみ","1","","0.01","","CLIN-PATH","HbA1cは過去の平均的な血糖状態を反映します。","HbA1cは赤血球中ヘモグロビンの糖化を反映し、糖尿病管理で過去1〜2か月程度の血糖状態を見る指標です。","判断手順: 糖尿病の長期管理ならHbA1c、現在血糖なら血糖値です。低血糖の急性評価にはHbA1cだけでは不十分です。","2","5","3.0","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","感染対策で手指衛生のタイミングとして適切なのはどれか。","患者に触れる前後","勤務終了時だけ","昼食前だけ","機器購入時だけ","月1回のみ","1","","0.01","","CLIN-PATH","患者接触の前後で手指衛生が必要です。","手指衛生は感染対策の基本で、患者に触れる前後、清潔操作前、体液曝露後、患者周辺環境接触後などに行います。","判断手順: 感染対策の基本は手指衛生です。手袋をしていても手指衛生が不要になるわけではありません。","1","5","3.0","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"truefalse","手袋を着用していれば、手袋を外した後の手指衛生は不要である。","正しい","誤り","","","","2","","0.01","","CLIN-PATH","手袋を外した後も手指衛生が必要です。","手袋には破損や汚染の可能性があり、外すときに手が汚染されることもあります。手袋着用は手指衛生の代わりではありません。","判断手順: 手袋=補助、手指衛生=基本です。患者安全と自分の安全の両方に関わります。","2","5","3.0","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","標準予防策で、血液が飛散する可能性がある処置時に追加で考慮するものはどれか。","アイシールドやマスク","腕時計の装着","素手での操作","飲食しながらの操作","患者情報の口頭共有のみ","1","","0.01","","CLIN-PATH","飛散リスクでは眼・鼻・口の防護を考えます。","血液や体液が飛散する可能性がある場合、手袋だけでなくマスク、ゴーグル、フェイスシールドなどを状況に応じて使用します。","判断手順: 飛散、血液、体液なら粘膜防護を考えます。標準予防策は感染性の有無に関係なく適用します。","2","5","3.0","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","発熱、咳、痰があり肺炎が疑われる患者で確認すべき所見として適切なのはどれか。","SpO2","靴のサイズ","視力だけ","髪の色","利き手","1","","0.01","","CLIN-PATH","肺炎疑いでは酸素化の確認が重要です。","肺炎では呼吸状態が悪化することがあり、SpO2、呼吸数、努力呼吸、体温、胸部所見などを確認します。","判断手順: 呼吸器症状があれば酸素化と呼吸仕事量を見ます。重症化の早期発見に重要です。","2","4","2.5","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","喘息発作でみられやすい呼吸音はどれか。","喘鳴","心雑音のみ","腸蠕動音のみ","摩擦音のみ","クリック音のみ","1","","0.01","","CLIN-PATH","喘息では喘鳴がみられやすくなります。","喘息発作では気道狭窄により笛のような呼吸音である喘鳴が聞かれることがあります。","判断手順: 喘息、気道狭窄、笛様音なら喘鳴です。重症では喘鳴が弱くなることもあるため全身状態を見ます。","2","4","2.5","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","COPDで主に障害される機能として適切なのはどれか。","換気機能","腎濾過のみ","胆汁産生のみ","骨形成のみ","視覚のみ","1","","0.01","","CLIN-PATH","COPDは慢性的な気流制限を特徴とします。","COPDでは気道や肺胞の変化により慢性的な気流制限が生じ、呼吸困難やCO2貯留が問題になることがあります。","判断手順: COPD、喫煙、慢性呼吸困難なら換気障害と気流制限を考えます。酸素投与時の観察も重要です。","3","4","2.5","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","心肺停止時にAEDが解析する主な対象はどれか。","心電図波形","血糖値","尿量","体温のみ","血液型","1","","0.01","","CLIN-PATH","AEDは心電図波形を解析します。","AEDは心電図波形を解析し、電気ショックの適応があるかを判断します。装着後は音声指示に従います。","判断手順: AEDは除細動が必要なリズムを判定する装置です。胸骨圧迫と組み合わせて使用します。","1","5","3.0","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"truefalse","AED使用時は、解析中や通電時に患者へ触れないよう確認する。","正しい","誤り","","","","1","","0.01","","CLIN-PATH","解析中・通電時は患者に触れない確認が必要です。","AEDの解析中に患者へ触れると誤解析につながる可能性があり、通電時は安全確保のため患者から離れます。","判断手順: AED、解析、通電、安全確認という語があれば患者に触れない確認を選びます。","1","5","3.0","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","一次救命処置で胸骨圧迫の主な目的はどれか。","脳や心臓への血流を保つ","血糖を下げる","尿量を増やす","体温を下げる","瞳孔を広げる","1","","0.01","","CLIN-PATH","胸骨圧迫は重要臓器への血流維持が目的です。","心停止時には自発的な循環が失われるため、胸骨圧迫で脳や心臓への最低限の血流を維持します。","判断手順: 心停止では循環維持が最優先です。胸骨圧迫、AED、救急要請を速やかに行います。","2","5","3.0","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","脳への血流が急に途絶えることで起こる病態として最も適切なのはどれか。","脳梗塞","白内障","胆石","虫垂炎","骨粗鬆症","1","","0.01","","CLIN-PATH","脳血流途絶は脳梗塞に関係します。","脳梗塞は脳血管の閉塞などにより脳組織への血流が低下し、神経症状を起こす病態です。","判断手順: 片麻痺、ろれつ困難、突然発症なら脳卒中を疑います。発症時刻の確認が重要です。","2","4","2.5","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","脳卒中疑いで確認が重要な情報はどれか。","発症時刻","好きな飲み物","靴のサイズ","利き目","趣味のみ","1","","0.01","","CLIN-PATH","脳卒中では発症時刻が重要です。","脳卒中では治療適応の判断に発症時刻が関わります。突然の片麻痺、構音障害、顔面麻痺などでは速やかに対応します。","判断手順: 脳卒中疑いは時間との勝負です。発症時刻と症状、抗凝固薬使用などを確認します。","2","5","3.0","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","消化管出血で黒色便がみられることがある理由として適切なのはどれか。","血液が消化され黒くなるため","胆汁が全てなくなるため","尿が混ざるため","骨が溶けるため","酸素が増えるため","1","","0.01","","CLIN-PATH","上部消化管出血では黒色便がみられることがあります。","胃や十二指腸など上部消化管からの出血では、血液が消化されて黒色便となることがあります。","判断手順: 吐血や黒色便では消化管出血を考えます。循環状態や貧血の評価も重要です。","3","3","1.5","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","肝臓の機能として適切でないものはどれか。","胆汁産生","解毒","糖代謝","タンパク合成","尿生成","5","","0.01","","MED-ANAT","尿生成は腎臓の機能です。","肝臓は胆汁産生、解毒、糖代謝、タンパク合成などに関与します。尿生成は腎臓の役割です。","判断手順: 肝臓は代謝・解毒・胆汁・合成、腎臓は尿・電解質・酸塩基と分けます。","2","4","2.0","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","黄疸で黄色く見えやすい部位として適切なのはどれか。","眼球結膜","爪だけ","髪の毛だけ","骨だけ","鼓膜だけ","1","","0.01","","CLIN-PATH","黄疸では眼球結膜が黄色く見えやすいです。","黄疸はビリルビン上昇により皮膚や眼球結膜が黄色く見える状態です。肝胆道系疾患や溶血などでみられます。","判断手順: 黄疸ならビリルビン、皮膚・眼球結膜、肝胆道系を連想します。","1","3","1.5","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","急性腹症で注意すべき所見として適切なのはどれか。","腹膜刺激症状","髪色の変化","視力改善","身長増加","爪の長さのみ","1","","0.01","","CLIN-PATH","急性腹症では腹膜刺激症状に注意します。","急な強い腹痛では、腹膜刺激症状、発熱、嘔吐、ショック徴候などを確認します。緊急手術が必要な病態もあります。","判断手順: 急性腹痛では重症サインを確認します。筋性防御や反跳痛は腹膜炎を示唆します。","3","4","2.0","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","体温上昇時に熱放散を促す反応として適切なのはどれか。","発汗","震え","末梢血管収縮","鳥肌","代謝亢進のみ","1","","0.01","","MED-ANAT","発汗は熱放散を促します。","体温が高くなると発汗や末梢血管拡張により熱を逃がします。寒冷時には震えや血管収縮で熱を保ちます。","判断手順: 暑いと汗と血管拡張、寒いと震えと血管収縮です。体温調節の基本です。","2","3","1.5","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"truefalse","寒冷時の震えは熱産生を増やす反応である。","正しい","誤り","","","","1","","0.01","","MED-ANAT","震えは筋活動により熱産生を増やします。","寒冷時には骨格筋の震えにより熱産生を増やし、体温低下を防ぎます。","判断手順: 寒冷時は熱を作る・逃がさない方向の反応が起こります。震えと血管収縮を押さえます。","1","3","1.5","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","交感神経が優位になったときに起こりやすい反応はどれか。","心拍数増加","消化管運動促進のみ","瞳孔縮小","気管支収縮のみ","血糖低下のみ","1","","0.01","","MED-ANAT","交感神経優位では心拍数が増加しやすくなります。","交感神経は緊急時や活動時に優位となり、心拍数増加、気管支拡張、血糖上昇などを起こします。","判断手順: 交感神経は戦う・逃げる反応、副交感神経は休む・消化する反応と整理します。","2","4","2.5","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","副交感神経が優位になったときに起こりやすい反応はどれか。","心拍数低下","瞳孔散大","気管支拡張のみ","血糖上昇のみ","発汗増加のみ","1","","0.01","","MED-ANAT","副交感神経優位では心拍数が低下しやすくなります。","副交感神経は安静時に優位となり、心拍数低下や消化管運動促進などに関与します。","判断手順: 副交感神経は休息・消化の方向です。迷走神経反射や徐脈の理解にも関係します。","2","4","2.5","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","甲状腺ホルモンの作用として適切なのはどれか。","代謝を高める","尿を直接作る","血液を凝固させるだけ","胆汁を貯める","酸素を肺で作る","1","","0.01","","MED-BIO","甲状腺ホルモンは代謝を高めます。","甲状腺ホルモンは基礎代謝や成長、循環動態に関与します。過剰では頻脈や体重減少などがみられることがあります。","判断手順: 甲状腺ホルモンは代謝を上げる方向です。内分泌疾患の基本として押さえます。","2","3","1.5","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","インスリンが不足または作用低下することで生じる代表的疾患はどれか。","糖尿病","気胸","白内障のみ","骨折","虫垂炎","1","","0.01","","MED-BIO","インスリン不足や作用低下は糖尿病に関係します。","糖尿病はインスリン分泌不足や作用不足により慢性的な高血糖をきたす疾患です。","判断手順: インスリンと血糖が出たら糖尿病を考えます。合併症として腎症、網膜症、神経障害が重要です。","1","5","3.0","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"numeric","血糖値が180 mg/dLから120 mg/dLへ低下した。低下量は何mg/dLか。","","","","","","","60","0.01","mg/dL","CLIN-PATH","180−120＝60 mg/dLの低下です。","低下量は変化前から変化後を引いて求めます。180から120を引くと60です。","使用式: 低下量 = 変化前 - 変化後。血糖値は症状や治療内容と合わせて判断します。","1","3","1.0","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","薬剤アレルギー歴を確認する主な目的はどれか。","有害反応を予防する","身長を測る","食事量を増やす","機器の電圧を決める","病室番号を変える","1","","0.01","","CLIN-PATH","アレルギー歴確認は有害反応予防のためです。","薬剤投与前にはアレルギー歴を確認し、アナフィラキシーなどの重篤な有害反応を避ける必要があります。","判断手順: 薬剤、アレルギー、投与前なら安全確認です。患者確認や禁忌確認と同じく重要です。","1","5","3.0","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","医療安全でインシデント報告を行う主な目的はどれか。","再発防止に役立てる","個人を罰することだけ","記録を隠す","患者説明を省略する","点検をなくす","1","","0.01","","CLIN-PATH","インシデント報告は再発防止に役立てます。","インシデントやヒヤリハットを共有・分析することで、システム改善や再発防止につなげます。","判断手順: 医療安全は個人責任だけでなく仕組み改善が重要です。報告文化が患者安全を高めます。","2","5","3.0","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"truefalse","患者確認では、氏名だけでなく生年月日など複数の情報を用いることが望ましい。","正しい","誤り","","","","1","","0.01","","CLIN-PATH","患者確認は複数情報で行うことが望ましいです。","同姓同名や聞き間違いを防ぐため、氏名と生年月日など複数の識別情報を用いて確認します。","判断手順: 患者確認、取り違え防止なら複数識別子です。検査、処置、投薬、輸血で特に重要です。","1","5","3.0","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","高齢者で転倒リスクを高める要因として適切なのはどれか。","筋力低下","視力が必ず改善すること","血糖が常に一定なこと","骨密度が必ず増えること","睡眠が全く不要なこと","1","","0.01","","CLIN-PATH","筋力低下は転倒リスクを高めます。","高齢者では筋力低下、ふらつき、薬剤、視力低下、環境要因などが転倒リスクになります。","判断手順: 転倒リスクは患者要因と環境要因の両方を見ます。医療機器のコードやチューブ類も注意対象です。","1","4","2.0","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","褥瘡のリスクを高める要因として適切なのはどれか。","長時間の同一体位","短時間の歩行","適切な体位変換","十分な栄養","皮膚観察","1","","0.01","","CLIN-PATH","長時間の同一体位は褥瘡リスクを高めます。","褥瘡は圧迫により局所の血流が低下して生じます。長時間同じ体位、低栄養、湿潤、感覚障害などがリスクです。","判断手順: 褥瘡は圧迫と血流低下が基本です。体位変換、除圧、皮膚観察が予防に重要です。","2","4","2.0","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","DVTの正式名称として適切なのはどれか。","深部静脈血栓症","急性心筋梗塞","慢性閉塞性肺疾患","播種性血管内凝固","心房細動","1","","0.01","","CLIN-PATH","DVTは深部静脈血栓症です。","DVTは深部静脈に血栓ができる病態で、肺塞栓症の原因になることがあります。長期臥床などがリスクです。","判断手順: DVTは下肢腫脹や疼痛、肺塞栓は呼吸困難や胸痛に注意します。略語の整理が大切です。","2","4","2.0","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
"single","肺塞栓症で起こりやすい症状はどれか。","突然の呼吸困難","慢性的な視力改善","歯痛のみ","爪の伸長","身長増加","1","","0.01","","CLIN-PATH","肺塞栓症では突然の呼吸困難に注意します。","肺塞栓症では血栓が肺動脈を閉塞し、突然の呼吸困難、胸痛、頻脈、低酸素などを起こすことがあります。","判断手順: DVTの既往や長期臥床後の突然の呼吸困難では肺塞栓症を考えます。緊急性が高い病態です。","3","4","2.5","original","CE108 medical 50 batch 2","","CE108","internal_sample","draft"
