"question_type","question_text","choice_1","choice_2","choice_3","choice_4","choice_5","correct_codes","numeric_answer","numeric_tolerance","unit","topic_code","explanation_short","explanation_standard","explanation_detailed","difficulty","importance","frequency_score","source_type","source_name","source_url","copyright_holder","permission_status","status"
"single","ショックの病態として最も適切なのはどれか。","組織灌流が不十分な状態","体温が必ず上昇する状態","血糖が必ず低い状態","尿量が必ず増える状態","意識が必ず清明な状態","1","","0.01","","CLIN-PATH","ショックは組織灌流不全です。","ショックは循環不全により組織へ十分な酸素と血流が届かない状態です。低血圧、頻脈、冷汗、意識障害、尿量低下などを伴うことがあります。","判断手順: ショックは血圧の数値だけでなく、組織灌流と臓器障害リスクで捉えます。救急、補助循環、輸液管理の基礎です。","3","5","3.0","original","CE108 medical 80pct batch 1","","CE108","internal_sample","draft"
"single","アナフィラキシーで第一選択となる薬剤として最も適切なのはどれか。","アドレナリン","インスリン","ヘパリン","ワルファリン","フロセミド","1","","0.01","","CLIN-PATH","アナフィラキシーではアドレナリンが第一選択です。","アナフィラキシーは急速に進行する重篤なアレルギー反応で、気道狭窄や血圧低下を起こします。第一選択はアドレナリンです。","判断手順: アナフィラキシー、喘鳴、血圧低下、蕁麻疹があればアドレナリンを想起します。救急対応では早期投与が重要です。","3","5","3.0","original","CE108 medical 80pct batch 1","","CE108","internal_sample","draft"
"single","心不全でBNPが上昇しやすい理由として最も適切なのはどれか。","心室負荷に反応して分泌されるため","血糖を下げるため","赤血球を破壊するため","凝固を促進するため","尿素を作るため","1","","0.01","","CLIN-PATH","BNPは心室負荷で上昇しやすい指標です。","BNPは心室の伸展や負荷に反応して分泌され、心不全評価の補助に用いられます。","判断手順: 心不全、息切れ、浮腫、BNPという語があれば心負荷を考えます。数値だけでなく症状や画像所見と合わせて評価します。","3","4","2.5","original","CE108 medical 80pct batch 1","","CE108","internal_sample","draft"
"single","右心不全で生じやすい所見はどれか。","下腿浮腫","肺胞出血のみ","低血糖のみ","瞳孔不同のみ","骨折","1","","0.01","","CLIN-PATH","右心不全では体静脈うっ血により浮腫が出やすくなります。","右心不全では全身静脈系に血液がうっ滞し、頸静脈怒張、肝腫大、下腿浮腫などが起こりやすくなります。","判断手順: 左心不全は肺うっ血、右心不全は体静脈うっ血と整理します。補助循環や輸液量評価にも関係します。","2","4","2.5","original","CE108 medical 80pct batch 1","","CE108","internal_sample","draft"
"single","呼吸不全を評価するとき、動脈血酸素分圧を表す略語はどれか。","PaO2","PaCO2","FiO2","PEEP","ACT","1","","0.01","","CLIN-PATH","動脈血酸素分圧はPaO2です。","PaO2は動脈血中の酸素分圧を表します。PaCO2は二酸化炭素分圧、FiO2は吸入酸素濃度です。","判断手順: Paはarterial、O2は酸素、CO2は二酸化炭素です。血液ガスは呼吸不全や人工呼吸管理の基本です。","2","5","3.0","original","CE108 medical 80pct batch 1","","CE108","internal_sample","draft"
"truefalse","PaCO2の上昇は、換気不足を示唆することがある。","正しい","誤り","","","","1","","0.01","","CLIN-PATH","PaCO2上昇は換気不足を示唆します。","二酸化炭素は換気によって排出されるため、肺胞換気が不足するとPaCO2が上昇しやすくなります。","判断手順: 酸素化はPaO2やSpO2、換気はPaCO2で大まかに捉えます。人工呼吸器設定の理解に重要です。","3","5","3.0","original","CE108 medical 80pct batch 1","","CE108","internal_sample","draft"
"single","慢性腎不全で上昇しやすい血液検査項目はどれか。","クレアチニン","ヘモグロビンのみ","酸素飽和度","視力","肺活量のみ","1","","0.01","","CLIN-PATH","腎機能低下ではクレアチニンが上昇しやすくなります。","クレアチニンは腎機能評価に用いられる代表的な指標で、腎機能低下により血中濃度が上昇しやすくなります。","判断手順: 腎不全、透析、老廃物という語があればクレアチニン、尿素窒素、eGFRを考えます。","2","5","3.0","original","CE108 medical 80pct batch 1","","CE108","internal_sample","draft"
"single","糖尿病の慢性合併症として適切なのはどれか。","網膜症","虫垂炎","気胸","骨折のみ","急性扁桃炎のみ","1","","0.01","","CLIN-PATH","糖尿病の慢性合併症には網膜症があります。","糖尿病の三大合併症として、網膜症、腎症、神経障害が知られています。動脈硬化性疾患にも注意が必要です。","判断手順: 糖尿病の慢性合併症はしめじ、すなわち神経、眼、腎を意識します。透析患者では糖尿病性腎症も重要です。","2","5","3.0","original","CE108 medical 80pct batch 1","","CE108","internal_sample","draft"
"single","低血糖時にみられやすい症状はどれか。","冷汗","黄疸のみ","徐々に身長が伸びる","骨硬化","尿潜血のみ","1","","0.01","","CLIN-PATH","低血糖では冷汗、振戦、動悸などが出やすくなります。","低血糖では交感神経症状として冷汗、動悸、振戦、空腹感が生じ、進行すると意識障害やけいれんを起こすことがあります。","判断手順: 糖尿病治療中の意識障害や冷汗では低血糖を疑います。迅速な血糖確認と対応が重要です。","2","5","3.0","original","CE108 medical 80pct batch 1","","CE108","internal_sample","draft"
"single","感染症診療で、病原体が血液中に入り全身性炎症反応を起こす重篤な状態はどれか。","敗血症","白内障","骨粗鬆症","気胸","貧血のみ","1","","0.01","","CLIN-PATH","敗血症は感染に伴う重篤な全身状態です。","敗血症は感染に対する生体反応が制御不能となり、臓器障害を起こす重篤な状態です。早期認識と治療が重要です。","判断手順: 感染、発熱、血圧低下、意識障害、臓器障害という語では敗血症を考えます。ICUや血液浄化領域でも重要です。","3","5","3.0","original","CE108 medical 80pct batch 1","","CE108","internal_sample","draft"
"single","意識レベル評価に用いられる指標はどれか。","JCS","BMI","eGFR","HbA1c","PEEP","1","","0.01","","CLIN-PATH","JCSは意識レベル評価に用いられます。","JCSはJapan Coma Scaleで、意識障害の程度を評価する指標です。GCSも意識レベル評価に使われます。","判断手順: 意識レベルならJCS/GCS、肥満度ならBMI、腎機能ならeGFR、糖尿病管理ならHbA1cです。","2","4","2.0","original","CE108 medical 80pct batch 1","","CE108","internal_sample","draft"
"numeric","体温が39.0℃、平熱が36.5℃である。平熱との差は何℃か。","","","","","","","2.5","0.01","℃","CLIN-PATH","39.0−36.5＝2.5℃です。","体温差は測定値から基準値を引いて求めます。39.0℃から36.5℃を引くと2.5℃です。","使用式: 差 = 測定値 - 基準値。代入: 39.0 - 36.5 = 2.5。発熱の程度は患者状態や感染徴候と合わせて判断します。","1","3","1.0","original","CE108 medical 80pct batch 1","","CE108","internal_sample","draft"
"numeric","酸素流量2 L/minから5 L/minへ増やした。増加量は何L/minか。","","","","","","","3","0.01","L/min","CLIN-PATH","5−2＝3 L/minの増加です。","増加量は変更後の値から変更前の値を引きます。5 L/minから2 L/minを引くと3 L/minです。","使用式: 増加量 = 変更後 - 変更前。酸素投与量の変化はSpO2、呼吸状態、医師指示と合わせて確認します。","1","3","1.0","original","CE108 medical 80pct batch 1","","CE108","internal_sample","draft"
"single","胸痛を訴える患者で、急性心筋梗塞の評価に関連する検査項目はどれか。","トロポニン","尿比重のみ","視力","聴力","血液型のみ","1","","0.01","","CLIN-PATH","心筋障害の評価にはトロポニンが関連します。","トロポニンは心筋障害のマーカーとして用いられ、急性冠症候群の評価に重要です。心電図や症状と合わせて判断します。","判断手順: 胸痛、心筋梗塞、心筋障害ならトロポニン、CK-MB、心電図を考えます。緊急性の高い病態です。","3","4","2.5","original","CE108 medical 80pct batch 1","","CE108","internal_sample","draft"
"single","脳卒中が疑われる片麻痺患者で、最初に重要な対応として適切なのはどれか。","発症時刻を確認し速やかに評価へつなぐ","数日間自宅で様子を見る","飲水を促して歩かせる","電気機器点検だけを行う","透析液を準備する","1","","0.01","","CLIN-PATH","脳卒中疑いでは発症時刻確認と迅速対応が重要です。","脳卒中では治療選択に発症時刻が重要です。片麻痺、構音障害、顔面麻痺などがあれば速やかに医療評価へつなぎます。","判断手順: FAST、発症時刻、片麻痺、ろれつ困難を確認します。時間依存性の治療があるため遅らせないことが重要です。","3","4","2.0","original","CE108 medical 80pct batch 1","","CE108","internal_sample","draft"
"single","肝機能障害で黄疸と関連が深い物質はどれか。","ビリルビン","インスリン","トロポニン","ヘモグロビンA1c","ナトリウムのみ","1","","0.01","","CLIN-PATH","黄疸はビリルビン上昇と関連します。","黄疸は皮膚や眼球結膜が黄色く見える状態で、ビリルビン代謝や排泄の異常と関連します。","判断手順: 黄疸ならビリルビン、肝胆道系、溶血を考えます。検査値と症状を結びつける基本です。","2","3","1.5","original","CE108 medical 80pct batch 1","","CE108","internal_sample","draft"
"single","脱水でみられやすい所見はどれか。","口渇","浮腫のみ","徐脈のみ","視力改善","体重増加のみ","1","","0.01","","CLIN-PATH","脱水では口渇がみられやすくなります。","脱水では体液量が不足し、口渇、皮膚乾燥、尿量低下、頻脈、血圧低下などが起こることがあります。","判断手順: 脱水では水分不足と循環血液量低下を考えます。透析や利尿薬使用中の患者では特に体液管理が重要です。","1","4","2.0","original","CE108 medical 80pct batch 1","","CE108","internal_sample","draft"
"single","輸血時にまず確認すべき安全項目として最も適切なのはどれか。","患者本人と血液製剤の照合","患者の好きな食事","病室の照明色","テレビの音量","靴のサイズ","1","","0.01","","CLIN-PATH","輸血では患者と製剤の照合が重要です。","輸血は重大事故を防ぐため、患者確認、血液型、製剤情報、有効期限、指示内容などを厳密に照合します。","判断手順: 輸血、安全、取り違え防止なら照合確認を最優先します。医療安全では声出し確認や複数者確認も重要です。","2","5","3.0","original","CE108 medical 80pct batch 1","","CE108","internal_sample","draft"
"truefalse","医療機器を患者に使用する前には、外観や接続、アラーム設定などの確認が重要である。","正しい","誤り","","","","1","","0.01","","SAFE-ELEC","使用前点検は医療機器安全の基本です。","医療機器は使用前に外観、電源、接続、消耗品、設定、アラームなどを確認します。異常を早期に発見し、患者安全を守るために重要です。","判断手順: 使用前、医療機器、安全という語では点検とアラーム確認を選びます。臨床工学技士の基本業務として重要です。","1","5","3.0","original","CE108 medical 80pct batch 1","","CE108","internal_sample","draft"
"single","一次救命処置で、反応がなく正常な呼吸がない成人に対して優先される対応はどれか。","胸骨圧迫を開始する","食事を与える","歩行させる","入浴させる","数時間観察する","1","","0.01","","CLIN-PATH","反応なし・正常呼吸なしでは胸骨圧迫を開始します。","一次救命処置では、反応と呼吸を確認し、正常な呼吸がなければ胸骨圧迫を開始し、AEDを手配します。","判断手順: 反応なし、正常呼吸なし、成人なら胸骨圧迫とAEDです。救急対応は医療者以外にも重要な基本行動です。","2","5","3.0","original","CE108 medical 80pct batch 1","","CE108","internal_sample","draft"
