"question_type","question_text","choice_1","choice_2","choice_3","choice_4","choice_5","correct_codes","numeric_answer","numeric_tolerance","unit","topic_code","explanation_short","explanation_standard","explanation_detailed","difficulty","importance","frequency_score","source_type","source_name","source_url","copyright_holder","permission_status","status"
"single","パルスオキシメータで測定誤差の原因になりやすいものはどれか。","体動","身長","聴力","髪の長さ","利き手","1","","0.01","","MEAS-SPO2","体動はSpO2測定誤差の原因になります。","パルスオキシメータは脈動成分と光吸収を利用するため、体動、末梢循環不良、外光、マニキュアなどが測定誤差の原因になります。","背景知識: SpO2は非侵襲的で便利ですが、条件によって信頼性が低下します。判断手順: 測定誤差の問題では、体動、低灌流、外光を候補にします。表示値だけでなく波形や患者状態も確認します。","2","5","3.0","original","CE108 original batch 1","","CE108","internal_sample","draft"
"truefalse","心電図モニタの電極接触不良は、波形ノイズやリードオフ表示の原因になり得る。","正しい","誤り","","","","1","","0.01","","MEAS-SPO2","電極接触不良はノイズやリードオフの原因になります。","心電図モニタでは電極の乾燥、剥がれ、皮膚処理不足、ケーブル不良などにより波形が不安定になります。リードオフ表示が出る場合は接触状態を確認します。","背景知識: 生体計測では信号そのものだけでなく、センサと患者の接触状態が重要です。判断手順: ノイズ、基線動揺、リードオフという語が出たら電極、ケーブル、皮膚状態を確認します。","2","4","2.0","original","CE108 original batch 1","","CE108","internal_sample","draft"
"single","除細動時に安全確認として最も適切なのはどれか。","通電前に患者やベッドに触れている人がいないことを確認する","酸素ボンベを患者の上に置く","心電図電極をすべて外す","通電中に胸骨圧迫を続ける","濡れた床で操作する","1","","0.01","","THER-DEF","通電前に接触者がいないことを確認します。","除細動では大きな電気エネルギーを通電するため、患者やベッドに触れている人がいないことを確認します。周囲への電撃を防ぐための声かけと視認が重要です。","背景知識: 除細動器は救命に重要ですが、操作時の安全確認が不可欠です。判断手順: 通電前、安全、接触という語から周囲確認を選びます。酸素や水分、電極位置、同期設定も状況に応じて確認します。","2","5","3.0","original","CE108 original batch 1","","CE108","internal_sample","draft"
"numeric","200 Jで充電した除細動器が全エネルギーを放電した。放電エネルギーは何Jか。","","","","","","","200","0.1","J","THER-DEF","充電エネルギーが全て放電されれば200 Jです。","問題文では200 Jで充電し、全エネルギーを放電したとあります。したがって放電エネルギーは200 Jです。","判断手順: 条件に損失や残留エネルギーが示されていなければ、充電エネルギーと放電エネルギーは同じとして扱います。注意点: 実機では波形やインピーダンスにより患者へ伝わるエネルギーの考え方が関わりますが、この問題は単純確認です。","1","3","1.0","original","CE108 original batch 1","","CE108","internal_sample","draft"
"single","医用電気機器の保護接地の主な目的はどれか。","漏れ電流による危険を低減する","表示文字を大きくする","測定時間を短くする","酸素濃度を高める","バッテリ容量を増やす","1","","0.01","","SAFE-ELEC","保護接地は漏れ電流による危険低減に関係します。","保護接地は、故障時などに危険な電位上昇や漏れ電流による電撃リスクを低減するために用いられます。医療環境では患者安全の観点から重要です。","背景知識: 医用電気安全では漏れ電流、接地、絶縁、等電位化を区別して理解します。判断手順: 保護接地という語が出たら、電撃防止と故障時の安全確保を考えます。","3","5","3.0","original","CE108 original batch 1","","CE108","internal_sample","draft"
"truefalse","水に濡れた手で医用電気機器の電源プラグを扱うことは、電撃リスクを高める。","正しい","誤り","","","","1","","0.01","","SAFE-ELEC","濡れた手での操作は電撃リスクを高めます。","水分は皮膚抵抗を低下させるため、濡れた手で電気機器を扱うと電流が流れやすくなります。医療現場では乾いた手で操作し、濡れた環境を避けることが基本です。","背景知識: 電撃リスクは電圧だけでなく、人体抵抗や接触条件にも左右されます。判断手順: 濡れた手、水分、電源という条件があれば危険側に判断します。基本動作の徹底が事故予防につながります。","1","4","2.0","original","CE108 original batch 1","","CE108","internal_sample","draft"
"numeric","抵抗10 Ωに0.5 Aの電流が流れている。抵抗で消費される電力は何Wか。","","","","","","","2.5","0.01","W","EEE-CIR","P＝I²Rより2.5 Wです。","電力はP＝I²Rで求められます。0.5 Aの二乗は0.25で、10 Ωを掛けると2.5 Wです。","使用公式: P = I^2 R。代入: 0.5^2 × 10 = 0.25 × 10 = 2.5。答え: 2.5 W。注意点: P=VIも使えますが、この問題では電流と抵抗が与えられているためI^2Rが直接使えます。","3","4","2.0","original","CE108 original batch 1","","CE108","internal_sample","draft"
"single","交流回路で周波数の単位として用いられるものはどれか。","V","A","Hz","Ω","W","3","","0.01","","EEE-SIG","周波数の単位はHzです。","周波数は1秒間に繰り返される周期の回数を表し、単位はHzです。Vは電圧、Aは電流、Ωは抵抗、Wは電力の単位です。","背景知識: 電気電子工学では単位の対応を素早く判断できることが重要です。判断手順: 周波数ならHz、周期なら秒、電圧ならV、電流ならAと整理します。人工呼吸器や計測機器の信号理解にも役立ちます。","1","4","2.0","original","CE108 original batch 1","","CE108","internal_sample","draft"
"numeric","周波数25 Hzの信号の周期は何秒か。","","","","","","","0.04","0.001","s","EEE-SIG","周期T＝1/fより0.04秒です。","周期は周波数の逆数です。25 Hzの場合、1÷25＝0.04秒になります。","使用公式: T = 1 / f。代入: 1 / 25 = 0.04。答え: 0.04 s。注意点: Hzは1秒あたりの回数なので、周期は秒になります。","3","4","2.0","original","CE108 original batch 1","","CE108","internal_sample","draft"
"single","生体材料に求められる性質として最も適切なのはどれか。","生体適合性があること","必ず磁石に強く反応すること","水に触れると必ず溶けること","必ず電気を通さないこと","体内で必ず発熱すること","1","","0.01","","MAT-BIO","生体材料には生体適合性が重要です。","生体材料は体内や体表で使用されるため、組織への悪影響が少なく、目的に応じた機械的・化学的性質を持つことが求められます。","背景知識: 生体材料では強度、耐久性、血液適合性、毒性、滅菌への耐性などを考えます。判断手順: 生体材料の基本性質を問われたら、生体適合性を最優先に考えます。用途によって必要な条件は変わります。","2","3","1.5","original","CE108 original batch 1","","CE108","internal_sample","draft"
"single","左心不全で肺うっ血が起こりやすい主な理由はどれか。","左心系からの拍出低下で肺静脈圧が上がるため","右心系の拍出が必ず増えるため","肺胞内酸素が必ず増えるため","腎臓で尿が作られないため","血小板が全て破壊されるため","1","","0.01","","CLIN-PATH","左心不全では肺静脈圧上昇により肺うっ血が起こりやすくなります。","左心室の拍出が低下すると、左房や肺静脈側に圧が伝わり、肺うっ血を生じやすくなります。息切れや湿性ラ音などの所見につながります。","背景知識: 心不全では左心不全と右心不全で出やすい所見が異なります。判断手順: 左心不全なら肺うっ血、右心不全なら体静脈うっ血をまず考えます。補助循環や呼吸管理の理解にも関わります。","3","4","2.0","original","CE108 original batch 1","","CE108","internal_sample","draft"
